,,,,,,,,State
State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AL,35670,MORGAN COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35671,LIMESTONE COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35672,LAWRENCE COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35673,LAWRENCE COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35674,TUSCUMBIA,0.040000,0.090000,0.005000,0.035000,0.010000,1
AL,35677,LAUDERDALE COUNTY,0.040000,0.055000,0.015000,0,0,1
AL,35699,DECATUR (MORGAN CO),0.040000,0.090000,0.010000,0.040000,0,1
AL,35739,LIMESTONE COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35740,BRIDGEPORT,0.040000,0.090000,0.020000,0.030000,0,1
AL,35741,MADISON COUNTY,0.040000,0.055000,0.005000,0,0.010000,1
AL,35742,LIMESTONE COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35744,JACKSON COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35745,JACKSON COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35746,JACKSON COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35747,MARSHALL COUNTY,0.040000,0.050000,0.010000,0,0,1
AL,35748,MADISON COUNTY,0.040000,0.055000,0.005000,0,0.010000,1
AL,35749,MADISON COUNTY,0.040000,0.055000,0.005000,0,0.010000,1
AL,35750,MADISON COUNTY,0.040000,0.055000,0.005000,0,0.010000,1
AL,35751,JACKSON COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35752,HOLLYWOOD,0.040000,0.090000,0.020000,0.030000,0,1
AL,35754,MORGAN COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35755,LANGSTON,0.040000,0.080000,0.020000,0.020000,0,1
AL,35756,LIMESTONE COUNTY,0.040000,0.060000,0.020000,0,0,2
AL,35757,MADISON COUNTY,0.040000,0.055000,0.005000,0,0.010000,2
AL,35758,MADISON (MADISON CO),0.040000,0.090000,0.005000,0.035000,0.010000,3
AL,35759,MADISON COUNTY,0.040000,0.055000,0.005000,0,0.010000,1
AL,35760,MADISON COUNTY,0.040000,0.055000,0.005000,0,0.010000,1
AL,35761,MADISON COUNTY,0.040000,0.055000,0.005000,0,0.010000,1
AL,35762,HUNTSVILLE (MADISON CO),0.040000,0.090000,0.005000,0.045000,0,1
